"","Capacitor leakage test Last (V)","Vin- Last (V)","Vin+ Last (V)","GND- Last (V)","GND+ Last (V)","NTC Last (V)"
"00:00:00","0.159","0.786","1.237","2.118","2.248","1.342"
"00:05:00","0.084","0.786","1.237","2.118","2.248","1.359"
"00:10:00","0.071","0.786","1.237","2.118","2.248","1.372"
