"","Capacitor leakage test Last (V)","Vin- Last (V)","Vin+ Last (V)","GND- Last (V)","GND+ Last (V)","NTC Last (V)"
"00:00:00","0.162","0.786","1.234","2.118","2.248","1.297"
"00:05:00","0.086","0.786","1.235","2.118","2.248","1.339"
"00:10:00","0.071","0.786","1.236","2.118","2.248","1.365"
